komentar,analisis
bahlil manusia konyol abad,"1. Komentar 1: Sentimen Negatif. Ini bukan tanggapan terhadap kerusakan alam, melainkan komen sarcastis tentang perilaku manusia yang mengumpul uang dengan cara yang mencemarkan lingkungan. Indikasi buzzer: Tidak, tidak relevan dengan isu alam. Topik: isu sosial. Alasan: Komunitas yang mengumpul uang dengan cara yang tidak peduli dengan kebersihan.

2. Komentar 2: Sentimen Tidak Relevan. Tanggapan ini hanya mengatakan kebutuhan untuk mengenali jersey klub, tanpa mengaitkan dengan isu alam di Raja Ampat. Indikasi buzzer: Tidak, tidak berkaitan dengan kerusakan alam. Topik: konten settingan. Alasan: Tanggapan mengenai jersey klub, tidak mengaitkan dengan isu alam.

3. Komentar 3: Sentimen Negatif. Ini mengkritik terorisme dan serangan telepon, bukan langganan terhadap kerusakan alam. Indikasi buzzer: Tidak, buzzer tidak relevan. Topik: isu sosial. Alasan: Komentar mengkritik terorisme dan serangan, bukan kerusakan alam.

4. Komentar 4: Sentimen Netral. Meskipun mengungkap kemenangan tim Papua Barat, komen ini tidak menyebut apa-apa tentang kerusakan alam. Indikasi buzzer: Tidak, tidak relevan dengan isu alam. Topik: isu sosial. Alasan: Tanggapan mengenai kemenangan tim, tidak mengaitkan dengan kerusakan alam.

5. Komentar 5: Sentimen Negatif. Ini mengungkap kebingungan dan kekesalan mengenai isu lingkungan di Indonesia. Indikasi buzzer: Tidak, tidak buzzer. Topik: kerusakan al"
aja bangtolol,"1. Sentimen: Negatif
   Indikasi Buzzer: Tidak
   Topik: Kerusakan alam
   Alasan: Komentar menunjukkan kekecewaan dan kritikan terhadap keadaan alam di Raja Ampat, seperti kerusakan lingkungan hutan dan tambang.

2. Sentimen: Negatif
   Indikasi Buzzer: Tidak
   Topik: Isu sosial
   Alasan: Komentar membahas pernyataan bahwa proyek dan pajak rokok lebih diutamakan daripada pelestarian alam.

3. Sentimen: Negatif
   Indikasi Buzzer: Tidak
   Topik: Kerusakan alam
   Alasan: Komentar mengkritik pengambilan ijin tanpa hormat kepada lingkungan, menunjukkan kerusakan alam.

4. Sentimen: Negatif
   Indikasi Buzzer: Tidak
   Topik: Kerusakan alam
   Alasan: Komentar menyatakan kekurangan dalam perawatan alam, terutama tentang peristiwa ""cabut jalan"".

5. Sentimen: Netral
   Indikasi Buzzer: Tidak
   Topik: Konten settingan
   Alasan: Komentar mengungkapkan keberlanjutan konten video tanpa membahas isu alam sekitar.

6. Sentimen: Negatif
   Indikasi Buzzer: Tidak
   Topik: Kerusakan alam
   Alasan: Komentar mengingatkan akan keterusan kerusakan alam terhadap cucu dan keinginan manusia untuk mengejar harta benda, yang mengabaikan pelestarian alam.

7. Sentimen: Negatif
   Indikasi Buzzer: Tidak
   Topik: Isu sosial
   Alasan: Komentar menegaskan bahwa perintah atau aturan yang diberikan terlalu kompleks dan sulit dipahami.
"
jersenya keren cccp,"1. Komentar 1: Sentimen Negatif. Ini menunjukkan kritikan terhadap literasi rendah dan kegagalan menciptakan kesejahteraan. Indikasi buzzer: Tidak. Topik: Kerusakan alam. Alasan: Komentar mengkritik literasi dan kemampuan menciptakan kesejahteraan, yang dikaitkan dengan isu kerusakan alam karena kekurangan pendidikan dan kepedulian.

2. Komentar 2: Sentimen Negatif. Komentar ini mengkritik perintah dan perilaku yang dianggap rakus dan tidak bertanggungjawab terhadap isu alam. Indikasi buzzer: Tidak. Topik: Kerusakan alam / isu sosial. Alasan: Komentar mengkritik perilaku yang mengancam alam dan menunjukkan keterkesan sosial.

3. Komentar 3: Sentimen Negatif. Komentar ini mengkritik sejarah kolonial dan ketidak peduliannya terhadap kerusakan alam. Indikasi buzzer: Tidak. Topik: Kerusakan alam. Alasan: Komentar mengkritik kolonialisme dan ketidak peduliannya terhadap alam.

4. Komentar 4: Sentimen Tidak Jedi. Komentar ini tidak memberikan tanggapan positif atau negatif terhadap kerusakan alam, tetapi merupakan komentar spekulatif tentang berita tentang kesalahan. Indikasi buzzer: Tidak. Topik: Kerusakan alam. Alasan: Komentar tidak menunjukkan sentimen kealami, tetapi merupakan komentar berita.

5. Komentar 5: Sentimen Tidak Jedi. Komentar ini menciptakan frasa humoristis dan tidak memberikan tanggapan terhadap kerusakan alam. Indikasi buzzer: Tid"
eksternalitas ga hitung bang,"1. Komentar 1: Sentimen Negatif, Indikasi Buzzer: Tidak, Topik: Kerusakan Alam, Alasan: Komentar ini menunjukkan kekurangan perhatian terhadap masalah alam, dengan kata ""dibubarin ubah"" yang sifatnya seperti tidak peduli.

2. Komentar 2: Sentimen Positif, Indikasi Buzzer: Tidak, Topik: Isu Sosial, Alasan: Komentar ini menunjukkan kepedulian dan paham terhadap isu yang dicakup video, dengan kata ""terimakasih bang lbh paham"".

3. Komentar 3: Sentimen Tidak Relevan, Indikasi Buzzer: Tidak, Topik: Konten Settingan, Alasan: Komentar ini tidak berkaitan dengan isu kerusakan alam di Raja Ampat, tetapi berkaitan dengan individu mulyono.

4. Komentar 4: Sentimen Negatif, Indikasi Buzzer: Tidak, Topik: Kerusakan Alam, Alasan: Komentar ini menunjukkan kekurangan respek dan disiplin, dengan kata ""walah koq gin jadiny moga dengar perintah"".

5. Komentar 5: Sentimen Negatif, Indikasi Buzzer: Tidak, Topik: Kerusakan Alam, Alasan: Komentar ini menunjukkan kehilangan harapan dan kepedulian terhadap kerusakan alam dengan kata ""negara kuat lawan jahat tunggu sajakehancurannya"".

6. Komentar 6: Sentimen Negatif, Indikasi Buzzer: Tidak, Topik: Kerusakan Alam, Alasan: Komentar ini mengkritik tindakan ""orang rakus pilih orangorang bodoh"" yang berpotensi berkaitan dengan penyebaran kerusakan alam.

7. Koment"
,"1. Komentar 1: Sentimen Negatif. Indikasi Buzzer: Ya. Topik: Kerusakan Alam. Alasan: Komentar ini menunjukkan kekecewaan terhadap keadaan hijau yang tersisa sedikit setelah kerusakan alam yang parah.

2. Komentar 2: Sentimen Tidak Ada. Indikasi Buzzer: Tidak. Topik: Isu Sosial. Alasan: Komentar ini hanya membahas percakapan pribadi dan tidak menunjukkan sentimen positif atau negatif terhadap kerusakan alam.

3. Komentar 3: Sentimen Tidak Ada. Indikasi Buzzer: Tidak. Topik: Konten Settingan. Alasan: Komentar ini menyebut nama individu dan tidak berkaitan dengan kerusakan alam atau pelestarian lingkungan.

4. Komentar 4: Sentimen Positif. Indikasi Buzzer: Tidak. Topik: Konten Settingan. Alasan: Komentar ini menunjukkan setujuan dengan kualitas video, bukan dengan isu kerusakan alam.

5. Komentar 5: Sentimen Tidak Ada. Indikasi Buzzer: Tidak. Topik: Tidak Relevan. Alasan: Komentar ini hanya meminta informasi tentang soundtrack video, bukan isu kerusakan alam.

6. Komentar 6: Sentimen Negatif. Indikasi Buzzer: Ya. Topik: Kerusakan Alam. Alasan: Komentar ini mengkritik praktik tambang yang mungkin mengakibatkan kerusakan alam.

7. Komentar 7: Sentimen Tidak Ada. Indikasi Buzzer: Tidak. Topik: Tidak Relevan. Alasan: Komentar ini hanya berkomentar tentang keadaan fisik seseorang tanpa berkaitan dengan kerusakan alam"
was wes wesintinya perintah mah tolol,"1. Komentar 1: Sentimen Negatif. Indikasi buzzer: Tidak. Topik: tidak relevan. Alasan: Komentar ini tidak berkaitan dengan kerusakan alam di Raja Ampat dan mungkin sebuah jok atau percakapan singkat.

2. Komentar 2: Sentimen Tidak Terdeteksi. Indikasi buzzer: Tidak. Topik: konten settingan. Alasan: Komentar ini terkait dengan ferry Ir. Wini ir. Sjahrir (Ferry Irwandi), bukan kerusakan alam.

3. Komentar 3: Sentimen Negatif. Indikasi buzzer: Tidak. Topik: isu sosial. Alasan: Komentar ini menunjukkan kebimbangan tentang harganya yang mahal dan dampak sosial terhadap warga lokal.

4. Komentar 4: Sentimen Positif. Indikasi buzzer: Tidak. Topik: kerusakan alam / isu sosial. Alasan: Komentar ini menyampaikan ide ideal tentang kerja sustainable untuk masyarakat lokal di pulau pusat ekonomi, yang relevan dengan kerusakan alam.

5. Komentar 5: Sentimen Negatif. Indikasi buzzer: Tidak. Topik: kerusakan alam. Alasan: Komentar ini kritik gambar perintah sebagai egois dan tidak berpikir panjang.

6. Komentar 6: Sentimen Negatif. Indikasi buzzer: Tidak. Topik: kerusakan alam / isu sosial. Alasan: Komentar ini mengkritik pemerintah untuk tidak mengeksplorasikan angka yang sebenarnya tentang kerusakan alam dan kesulitan warga lokal.

7. Komentar 7: Sentimen Tidak Terdeteksi. Indikasi buzzer: Tidak. Topik:"
bahlil gak suka video,"1. Sentimen: Negatif
   Indikasi Buzzer: Tidak
   Topik: Kerusakan alam
   Alasan: Komentar ini menunjukkan kekesalahan terhadap kondisi Raja Ampat tanpa memberikan solusi, sehingga menunjukkan kesulitan menghadapi realitas kerusakan alam.

2. Sentimen: Tidak Relevan
   Indikasi Buzzer: Ya
   Topik: Konten settingan
   Alasan: Komentar ini tidak berkaitan dengan kerusakan alam di Raja Ampat; ini bersifat promosi atau pemberitahuan tentang kemenangan tim bola voli.

3. Sentimen: Negatif
   Indikasi Buzzer: Tidak
   Topik: Kerusakan alam
   Alasan: Komentar ini menggunakan ""tuyul hideung dongo,"" mitos lokal yang sering digunakan sebagai saran untuk menghindari kerusakan alam.

4. Sentimen: Netral
   Indikasi Buzzer: Tidak
   Topik: Isu sosial
   Alasan: Komentar ini hanya menerima pengunjung di Indonesia tanpa menyebutkan apa-apa tentang kerusakan alam.

5. Sentimen: Negatif
   Indikasi Buzzer: Tidak
   Topik: Kerusakan alam, isu sosial
   Alasan: Komentar ini menyentuh isu kerusakan alam, tetapi lebih mengarah ke isu sosial dan percaya atau tidak percaya (akibat akhirat) tanpa memberikan solusi konkret.

6. Sentimen: Negatif
   Indikasi Buzzer: Tidak
   Topik: Kerusakan alam
   Alasan: Komentar ini menunjukkan kekecewaan terhadap kerusakan alam di Raja Ampat, tetapi tidak memberikan solusi atau kepedulian konkret.

7. Sentimen: Negatif
   Indikasi Buzzer: Tid"
ngelihat abis liat bocor alus kek anjir penting si hobbit bilang presiden yg aja udah muka rusak akhlak rusak,"1. Komentar 1: Sentimen Negatif. Indikasi Buzzer: Tidak. Topik: kerusakan alam. Alasan: Komentar ini menunjukkan kekesalahan terhadap pengambilan uang izin untuk melakukan aktivitas yang mungkin menyebabkan kerusakan alam.

2. Komentar 2: Sentimen: Tidak jelas. Indikasi Buzzer: Tidak. Topik: isu sosial. Alasan: Komentar ini kurang jelas dan tidak terkait dengan kerusakan alam atau pelestarian alam.

3. Komentar 3: Sentimen: Tidak relevan. Indikasi Buzzer: Tidak. Topik: konten settingan. Alasan: Komentar ini berkaitan dengan perintah dan tidak relevan dengan kerusakan alam di Raja Ampat.

4. Komentar 4: Sentimen: Tidak relevan. Indikasi Buzzer: Tidak. Topik: tidak relevan. Alasan: Komentar ini berkaitan dengan pakaian dan tidak berkaitan dengan kerusakan alam.

5. Komentar 5: Sentimen: Negatif. Indikasi Buzzer: Tidak. Topik: kerusakan alam. Alasan: Komentar ini menunjukkan kekecewaan dan kebimbangan terhadap kondisi yang sudah ""putar uang"" (tidak perubahan) di Raja Ampat.

6. Komentar 6: Sentimen: Tidak jelas. Indikasi Buzzer: Tidak. Topik: isu sosial. Alasan: Komentar ini berkaitan dengan perbandingan antara individu dan negara lain tanpa mengacu pada kerusakan alam di Raja Ampat.

7. Komentar 7: Sentimen: Negatif. Indikasi Buzzer: Tidak. Topik: isu sosial. Alasan: Komentar ini menyal"
bandit kebal hukum berkuasanegara rakyat rusak binasa,"1. Komentar 1: Sentimen Negatif. Alasan: Komentar ini menunjukkan kekecewaan dengan kualitas kerja (cabut) yang dilakukan oleh seseorang yang dianggap sebagai dokter, yang terkait dengan kerusakan alam karena mungkin kerja reparasi yang buruk.

2. Komentar 2: Sentimen Negatif. Alasan: Komentar ini menyimpulkan bahwa Indonesia, termasuk wilayah Raja Ampat, sudah rusak dan tidak bisa dikembangkan lagi, menunjukkan kekecewaan dan tidak peduli terhadap kerusakan alam.

3. Komentar 3: Sentimen Negatif. Alasan: Komentar ini menyatakan ""papua hancur"", menunjukkan kekecewaan dan kritik terhadap kondisi alam di Papua, termuda-mudanya Raja Ampat.

4. Komentar 4: Sentimen Positif. Alasan: Komentar ""keren"" menunjukkan keindahan atau kesederhanaan yang dilihat, mungkin terkait dengan visual video tanpa mengkritik atau mendukung kerusakan alam.

5. Komentar 5: Sentimen Tidak Relevan. Alasan: Komentar ini menyatakan ""jaya uni soviet"", yang tidak terkait dengan isu kerusakan alam di Raja Ampat dan tidak menunjukkan sentimen positif atau negatif terhadap topik utama.

6. Komentar 6: Sentimen Negatif. Alasan: Komentar ini menyatakan kekecewaan dan kritik terhadap keadaan negara (""gin negara yak korosiiiiii""), termasuk posibelah Raja Ampat, yang terkait dengan kerusakan alam.

7. Komentar 7: Sentimen Tidak Relevan. Alasan: Komentar ini membahas politik dan ekonomi tanpa mengaitkan dengan isu"
lucu banget yg negara ngejajah negara konoha,"1. Komentar 1: Sentimen Negatif. Ini bukan tanggapan mengenai kerusakan alam, tetapi humoristis dan tidak relevan dengan topik video. Buzzer: Tidak. Topik: tidak relevan. Alasan: Komentar ini memuat kata ""otak"" dan ""wkwkwkwkw"", yang tidak berkaitan dengan isu alam di Raja Ampat.

2. Komentar 2: Sentimen Tidak Ada. Komentar ini berfokus pada inti bahan atau tekstualitas video, bukan pada isu kerusakan alam. Buzzer: Tidak. Topik: konten settingan. Alasan: Komentar ini menunjukkan kebimbangan tentang inti pesan video, bukan isu alam.

3. Komentar 3: Sentimen Tidak Ada. Komentar ini mengenai fokus dan konten video, bukan isu kerusakan alam. Buzzer: Tidak. Topik: tidak relevan. Alasan: Komentar ini menggunakan kata ""mention"" dan ""fokus"", menunjukkan keberlanjutan diskusi tentang video, bukan isu alam.

4. Komentar 4: Sentimen Negatif. Komentar ini mengkritik ekonomi dan perusahaan tambang di Raja Ampat, yang bersifat sosial dan politis, bukan secara langsung mengenai kerusakan alam. Buzzer: Tidak. Topik: isu sosial. Alasan: Komentar ini melibatkan diskusi tentang sosialisme, kapitalisme, dan ekonomi, berkaitan dengan industri tambang dan masyarakat Raja Ampat.

5. Komentar 5: Sentimen Positif. Komentar ini menunjukkan kepedulian dan keanggotaan aktivis lingkungan yang mendukung pelestarian alam. Buzzer: Tidak. Topik: kerusakan alam. Alasan: Koment"
isi chanel pki,"1. Komentar 1: Sentimen Negatif. Indikasi buzzer: Tidak. Topik: konten settingan. Alasan: Komentar ini tidak menunjukkan sentimen terhadap kerusakan alam, hanya menyatakan kegembiraan seorang individu.

2. Komentar 2: Sentimen Negatif. Indikasi buzzer: Tidak. Topik: isu sosial. Alasan: Komentar ini mengkritik dengan menggunakan kata-kata kritik dan tidak menunjukkan kepedulian terhadap kerusakan alam.

3. Komentar 3: Sentimen Negatif. Indikasi buzzer: Ya. Topik: kerusakan alam. Alasan: Komentar ini mengkritik orang lain yang tidak peduli terhadap kerusakan alam di Raja Ampat, menunjukkan sentimen negatif.

4. Komentar 4: Sentimen Negatif. Indikasi buzzer: Ya. Topik: kerusakan alam. Alasan: Komentar ini mengkritik kerusakan di daerah Raja Ampat dan menunjukkan sentimen negatif terhadap kondisi saat ini.

5. Komentar 5: Sentimen Tidak Terpulang. Indikasi buzzer: Tidak. Topik: tidak relevan. Alasan: Komentar ini tidak berkaitan dengan kerusakan alam atau pelestarian alam di Raja Ampat.

6. Komentar 6: Sentimen Tidak Terpulang. Indikasi buzzer: Tidak. Topik: tidak relevan. Alasan: Komentar ini sebagai tren atau popularitas tanpa berkaitan dengan topik kerusakan alam.

7. Komentar 7: Sentimen Positif. Indikasi buzzer: Tidak. Topik: kerusakan alam. Alasan: Komentar ini menunjukkan kepedulian dan harapannya"
raja ampat all bluenya indonesia,"1. Komentar 1: Sentimen Netral. Ini adalah percakapan tentang pakaian dan tidak berkaitan dengan kerusakan alam di Raja Ampat.
2. Komentar 2: Sentimen Netral. Percakapan berkaitan dengan pakaian dan tidak menyebutkan apa-apa tentang kerusakan alam.
3. Komentar 3: Sentimen Negatif. Komentar ini menunjukkan kebimbangan terhadap isu media dan perintah, yang dikaitkan dengan kerusakan alam di Raja Ampat.
4. Komentar 4: Sentimen Negatif. Komentar ini mengkritik pemerintah Indonesia atas masalah sosial dan ekonomi, termasuk kerusakan alam, dengan menggunakan contoh minyak bumi dan pajak.
5. Komentar 5: Sentimen Netral. Komentar ini membahas analisis harga saham dan tidak berkaitan dengan kerusakan alam.
6. Komentar 6: Sentimen Negatif. Komentar ini berulang-ulang ""budaya pukul jabat,"" yang mungkin merujuk pada keterlibatan korupsi atau kekerasan dalam mengatasi isu kerusakan alam, tanpa menyebutkan langkah pemeliharaan.
7. Komentar 7-19: Sentimen Negatif. Semua komentar ini berulang-ulang ""budaya pukul jabat,"" menunjukkan kekecewaan dan kekecewaan terhadap keterlibatan korupsi atau kekerasan dalam mengatasi isu kerusakan alam, tanpa menyebutkan langkah pemeliharaan.
20. Komentar: Sentimen Negatif. Komentar ini mengkritik perintah yang tidak akal sehat, yang mungkin terkait dengan kerusakan alam atau isu lainnya.

Indikasi Buzzer:
- Komentar 3, 4, "
nonton video jelas inigw mikir orang warga masyarakat yg ajar bikin analisa kaya giniapalagi perintah resource data acu utk buat bijak gampang yg kuasa bodoh gak mamputapi kayak gak peduli aja pure evil bikin makiiiin marah jengkel yak,"1. **Komentar 1: menteri bahlul bang yg bener**
   - Sentimen: Negatif
   - Indikasi buzzer: Ya (kritik terhadap menteri yang dianggap bodoh)
   - Topik: isu sosial
   - Alasan: Komentar ini menunjukkan kritikan terhadap seorang menteri yang dianggap bodoh, bukan membahas kerusakan alam Raja Ampat.

2. **Komentar 2: politik dinasti**
   - Sentimen: Negatif
   - Indikasi buzzer: Ya (kritik terhadap politik dinasti)
   - Topik: isu sosial
   - Alasan: Komentar ini berfokus pada politik dinasti dan tidak berkaitan dengan kerusakan alam di Raja Ampat.

3. **Komentar 3: fuhhhh untung aja viral**
   - Sentimen: Tidak Relevan
   - Indikasi buzzer: Tidak
   - Topik: konten settingan
   - Alasan: Komentar ini hanya berkomentar tentang viralitas video dan tidak berkaitan dengan isu kerusakan alam.

4. **Komentar 4: nuhun kang ferry**
   - Sentimen: Tidak Relevan
   - Indikasi buzzer: Tidak
   - Topik: konten settingan
   - Alasan: Komentar ini berkaitan dengan masalah ferry dan tidak terkait dengan kerusakan alam Raja Ampat.

5. **Komentar 5: resiko perintah tolol kayak gin aja dijelasin saverajaempat coyyyy**
   - Sentimen: Negatif
   - Indikasi buzzer: Ya (kritik terhadap perintah yang dianggap ""tolol"")
   - Topik: isu sosial
   - Alasan: Komentar ini menunjukkan kritikan terhadap perintah yang dianggap tidak efektif, bukan langganan ter"
bahlul emang,"1. **Komentar 1: popo popo popopo siroyooo**
   - Sentimen: Negatif
   - Indikasi Buzzer: Tidak
   - Topik: Konten Settingan / Tidak Relevan
   - Alasan: Komentar ini terdiri dari suara-suara yang tidak memiliki konteks yang bersangkutan dengan isu kerusakan alam di Raja Ampat.

2. **Komentar 2: hidup jokowihidup gibranhidup bahlil bangga dgn**
   - Sentimen: Positif
   - Indikasi Buzzer: Tidak
   - Topik: Isu Sosial / Kerusakan Alam
   - Alasan: Komentar ini menunjukkan kebanggaan atas kehidupan di Indonesia, yang dapat diinterpretasikan sebagai dukungan terhadap pelestarian alam yang baik di negara tersebut.

3. **Komentar 3: lanjut edukasi warga konoha bang**
   - Sentimen: Positif
   - Indikasi Buzzer: Tidak
   - Topik: Kerusakan Alam
   - Alasan: Komentar ini menyentuh kepentingan edukasi untuk mencegah kerusakan alam, yang menunjukkan kepedulian dan usaha untuk mengembangkan solusi.

4. **Komentar 4: indonesia jajah jabat**
   - Sentimen: Tidak Terpapar Sentimen
   - Indikasi Buzzer: Tidak
   - Topik: Isu Sosial / Kerusakan Alam
   - Alasan: Komentar ini menyampaikan ide politik tanpa membuat komentar langsung terhadap kerusakan alam, sehingga sentimen tidak dapat diukur dengan jelas.

5. **Komentar 5: pad dapat asli daerah**
   - Sentimen: Positif
   - Indikasi Buzzer: Tidak
   - Topik: Kerusakan Alam / Konten"
himbauan suku asli sumatra forum suku asli sumatera juang daulat negara sumatra salah dahulu gabung jawa bingkai republik tanggung baik salah putus yg sebahagian dahulu negara federasi sumatera negara milik uud kuhp nya sesuai butuh karakter masyarakat tetap atur ekonomi federal sumatra prioritas kesejahteraaneksistensi lestari ekonomi masyarakat negara federasi sumatera juang nama revolusi sumatra negara federasi sumatra perang dunia yg paksa jepang sumatra keiginan populer masyarakat nasionalis sumatra cari datang jawa narasi negara federasi sumatra lemah belanda jajah samping warga suku asli sumatra minim literasi wawas sistem prodemokrasi tatanan geopolotik kerangka multietnis warga suku asli sumatra gerilya sebut patriot sumatra antek sentralisasi yg banyak jawa sebut makarpemberontak gonggong anjing maksud kemerdekaaan hak bangsa tuju usir jajah warga suku asli sumatra yg sulit gelisah kondisi hiduppenghidupan sejahtera nkri putus dahulu anggap gegabah orientasi warga suku asli sumatra momentum patriot sumatra baharu cita diri negara federasi sumatra baik yg sosialisasi manfaat untung strategis nkri manusia pahlawan sumatra juang bebas sumatra nkri nkri hidup revolusi sumatra hidup negara federasi sumatra,"1. **Komentar 1**: Sentimen: Negatif. Indikasi buzzer: Ya. Topik: tidak relevan. Alasan: Komentar ini menggunakan kata-kata kerja yang kasar dan tidak berkaitan dengan isu kerusakan alam di Raja Ampat.

2. **Komentar 2**: Sentimen: Positif. Indikasi buzzer: Tidak. Topik: kerusakan alam. Alasan: Komentar ini menunjukkan kepedulian terhadap pelestarian alam dengan mengarah ke aksi untuk melindungi Raja Ampat.

3. **Komentar 3**: Sentimen: Negatif. Indikasi buzzer: Ya. Topik: isu sosial. Alasan: Komentar ini menyalahkan pelestarian dan menggunakan isu komunisme sebagai alasan untuk menyangkal kerusakan alam di Raja Ampat.

4. **Komentar 4**: Sentimen: Negatif. Indikasi buzzer: Ya. Topik: konten settingan. Alasan: Komentar ini berfokus pada penampilan atau perseroan terlibat, bukan isu kerusakan alam di Raja Ampat.

5. **Komentar 5**: Sentimen: Negatif. Indikasi buzzer: Ya. Topik: tidak relevan. Alasan: Komentar ini tidak berkaitan dengan isu kerusakan alam di Raja Ampat.

6. **Komentar 6**: Sentimen: Positif. Indikasi buzzer: Tidak. Topik: konten settingan. Alasan: Meskipun mengkritik pakaian, komentar ini tidak menyalahkan pelestarian alam.

7. **Komentar 7**: Sentimen: Negatif. Indikasi buzzer: Ya. Topik: kerusakan alam. Alasan: Komentar ini menggambarkan Raja Ampat sebagai ""kek wano"" (sepert"
jujur sedih banget baca berita nonton podcast isi faktafakta sedih ya tuhan kelak sempat bangsa tolong beri pimpin cerdas amanah mohon ya tuhan engkau murka tingkah orangorang beri saudarasaudara mampu mampu pintar daya komohon tuhan,"1. Komentar 1: Sentimen Negatif. Indikasi Buzzer: Tidak. Topik: Tidak Relevan. Alasan: Komentar tersebut fokus pada unsur humoristis dan tidak berkaitan dengan isu kerusakan alam di Raja Ampat.

2. Komentar 2: Sentimen Netral. Indikasi Buzzer: Tidak. Topik: Kerusakan Alam. Alasan: Komentar ini menunjukkan kesadaran tentang Raja Ampat sebagai destinasi turistik tanpa menyebutkan apakah ada isu-isu yang diangkat dalam video.

3. Komentar 3: Sentimen Netral. Indikasi Buzzer: Tidak. Topik: Konten Settingan. Alasan: Komentar tersebut berfokus pada pakaian atau ""jersey"" yang digunakan dalam video dan tidak berkaitan dengan isu kerusakan alam.

4. Komentar 4: Sentimen Negatif. Indikasi Buzzer: Tidak. Topik: Isu Sosial. Alasan: Komentar ini menggunakan kata ""bahlul"" sebagai kritik, sifat yang negatif terhadap perilaku atau tindakan yang disampaikan dalam video.

5. Komentar 5: Sentimen Netral. Indikasi Buzzer: Tidak. Topik: Tidak Relevan. Alasan: Komentar tersebut berfokus pada individu dan tidak menyebutkan apa adanya isu kerusakan alam di Raja Ampat.

6. Komentar 6: Sentimen Negatif. Indikasi Buzzer: Tidak. Topik: Kerusakan Alam. Alasan: Komentar ini menggunakan ""remaja curam"" sebagai kritik terhadap perilaku yang mungkin berkaitan dengan kerusakan alam.

7. Komentar 7: Sentimen Negatif. Indikasi Buz"
dynasty mulyono,"1. Komentar 1: Sentimen: Netral. Indikasi buzzer: Tidak. Topik: Konten settingan. Alasan: Komentar ini terlalu umum dan tidak terkait dengan isu alam di Raja Ampat.

2. Komentar 2: Sentimen: Netral. Indikasi buzzer: Tidak. Topik: Isu sosial (menunjukkan keinginan untuk melihat video selesai). Alasan: Komentar ini tidak menyebut apa-apa mengenai kerusakan alam atau pelestarian.

3. Komentar 3: Sentimen: Negatif. Indikasi buzzer: Tidak. Topik: Kerusakan alam. Alasan: Komentar ini mengkritik akar masalah yang menyebabkan kerugian bagi masyarakat, implikasi adalah kerusakan alam.

4. Komentar 4: Sentimen: Netral. Indikasi buzzer: Tidak. Topik: Tidak relevan. Alasan: Komentar ini terlalu singkat dan tidak mengungkapkan apa pun mengenai video atau kerusakan alam.

5. Komentar 5: Sentimen: Netral. Indikasi buzzer: Tidak. Topik: Budaya pop. Alasan: Komentar ini membahas sesuatu yang secara langsung tidak berkaitan dengan kerusakan alam di Raja Ampat.

6. Komentar 6: Sentimen: Netral. Indikasi buzzer: Tidak. Topik: Konten settingan. Alasan: Komentar ini berkaitan dengan elemen estetik pada wallpaper cafe dan tidak membahas isu alam.

7. Komentar 7: Sentimen: Positif. Indikasi buzzer: Tidak. Topik: Kerusakan alam. Alasan: Komentar ini menyebut desain kaos lokal, yang dapat diinterpretasikan sebagai usaha untuk pele"
perintah tolong otak,"Hasil analisis untuk setiap komentar berikut:

1. **Komentar 1: organ tubuh nama otak**
   - Sentimen: Tidak relevan
   - Indikasi Buzzer: Tidak
   - Topik: Tidak relevan
   - Alasan: Komentar ini tidak terhubung dengan isu kerusakan alam di Raja Ampat.

2. **Komentar 2: bacod lo fer ganggu mewah jabat nanggung derita kek rakyat jelata bau basi kek lu lu lulu diem aja napa tar w bansos w bikionin acara joged tar diem lu ga bacod deh**
   - Sentimen: Negatif
   - Indikasi Buzzer: Tidak
   - Topik: Isu sosial
   - Alasan: Komentar ini mengkritik kondisi sosial dan ekonomi, tidak terkait dengan kerusakan alam.

3. **Komentar 3: this goblin**
   - Sentimen: Tidak relevan
   - Indikasi Buzzer: Tidak
   - Topik: Konten settingan
   - Alasan: Komentar ini hanya menunjukkan respon emotif tanpa menyentuh isu utama video.

4. **Komentar 4: negara kntl ga obat**
   - Sentimen: Negatif
   - Indikasi Buzzer: Tidak
   - Topik: Isu sosial
   - Alasan: Komentar ini menunjukkan kekecewaan terhadap keadaan negara, bukan langganan terhadap kerusakan alam.

5. **Komentar 5: alhamdullilah kebel dior setel keluarga**
   - Sentimen: Positif
   - Indikasi Buzzer: Tidak
   - Topik: Kerusakan alam
   - Alasan: Komentar ini menunjukkan kepedulian pribadi terhadap masalah keluarga, yang dapat dipahami sebagai respons ter"
